prod_id,prod_type,interest_rate_apr,processing_fee_logic,tenure_months
eum,eum,explicabo,ex,blanditiis
quo,alias,et,labore,perferendis
modi,tempore,similique,facere,quas
magnam,pariatur,magnam,qui,quasi
ullam,dolores,facere,exercitationem,molestias
repellendus,debitis,expedita,sed,excepturi
sapiente,optio,error,vero,delectus
sunt,a,velit,doloremque,ipsum
dolores,dolor,quam,accusantium,nisi
modi,necessitatibus,eius,veniam,aliquid
ratione,delectus,esse,animi,doloribus
temporibus,consequatur,soluta,reiciendis,error
totam,explicabo,asperiores,suscipit,necessitatibus
sit,odit,occaecati,veritatis,maxime
facilis,aut,non,quis,beatae
mollitia,eaque,debitis,repudiandae,quos
accusantium,minus,aperiam,aliquid,eius
molestiae,id,deleniti,voluptatem,illo
esse,delectus,architecto,voluptate,nesciunt
nesciunt,iure,corrupti,debitis,sapiente
sapiente,labore,sequi,accusamus,dicta
ullam,maiores,excepturi,sequi,quo
unde,alias,beatae,architecto,et
maiores,hic,libero,praesentium,dolorum
qui,nostrum,nemo,beatae,iure
hic,dolor,aperiam,veniam,expedita
maiores,quos,rem,consectetur,doloremque
ex,excepturi,rerum,magni,ut
consequuntur,earum,provident,voluptates,ut
nesciunt,veniam,labore,dolores,nesciunt
ex,quisquam,rem,maiores,maxime
iusto,suscipit,facere,voluptatem,in
necessitatibus,soluta,est,adipisci,amet
blanditiis,esse,nam,delectus,nisi
natus,dolor,quia,optio,aperiam
veniam,exercitationem,autem,et,ducimus
sit,perspiciatis,reiciendis,aliquid,cumque
similique,cum,incidunt,eum,blanditiis
ad,praesentium,debitis,eligendi,cum
quae,enim,nesciunt,numquam,facere
ullam,aliquam,nesciunt,quam,explicabo
esse,possimus,id,similique,eum
explicabo,quia,aliquid,molestiae,animi
sit,vero,rerum,molestias,ipsam
dolorum,quasi,non,corrupti,aliquid
nisi,incidunt,molestiae,tempora,deserunt
vel,quidem,enim,praesentium,dicta
odio,suscipit,reprehenderit,et,facilis
repellat,fuga,cupiditate,distinctio,at
quas,rerum,alias,aut,nobis
debitis,delectus,ducimus,eos,quas
ullam,iusto,distinctio,similique,dolores
incidunt,voluptate,tempore,molestiae,accusamus
aliquid,ad,necessitatibus,doloribus,porro
praesentium,veritatis,laborum,ullam,facilis
occaecati,distinctio,voluptatum,dolores,qui
maxime,vel,voluptatum,deserunt,doloribus
repudiandae,maiores,tempore,praesentium,saepe
at,eum,eius,deserunt,libero
molestiae,animi,animi,libero,laudantium
iusto,mollitia,ducimus,explicabo,adipisci
quis,quasi,impedit,occaecati,quisquam
atque,suscipit,recusandae,voluptates,illo
unde,saepe,sapiente,harum,quidem
accusantium,ea,quisquam,alias,incidunt
optio,cupiditate,id,at,perspiciatis
nobis,architecto,ipsam,minima,voluptatum
alias,non,occaecati,possimus,accusantium
accusantium,nihil,asperiores,officia,adipisci
eum,repellendus,officiis,voluptatem,hic
dicta,nihil,earum,incidunt,unde
facere,repellat,doloremque,accusantium,molestiae
repudiandae,minus,quaerat,excepturi,temporibus
libero,perspiciatis,veniam,laborum,optio
unde,soluta,suscipit,dolore,amet
voluptate,sint,dolorem,dicta,ex
fuga,expedita,libero,facere,quibusdam
aut,cupiditate,ut,ab,quibusdam
voluptatibus,illo,facilis,maiores,molestias
sunt,quasi,ratione,iusto,ea
cumque,unde,quidem,odio,voluptas
beatae,voluptate,dolores,necessitatibus,accusantium
modi,cupiditate,suscipit,at,officia
quia,aut,veritatis,adipisci,at
excepturi,perspiciatis,rem,voluptates,voluptas
rerum,cum,impedit,cum,dignissimos
sequi,facilis,aspernatur,delectus,maiores
cum,veniam,placeat,facilis,aspernatur
temporibus,corrupti,maxime,rerum,repudiandae
possimus,sit,amet,cumque,eveniet
vitae,eum,esse,sit,adipisci
dolores,temporibus,ipsam,occaecati,sequi
voluptates,illum,reprehenderit,veniam,repudiandae
tenetur,nobis,itaque,dolores,dolorem
sapiente,enim,asperiores,rerum,dignissimos
pariatur,optio,sint,commodi,quas
iste,ut,modi,sapiente,quia
molestiae,et,vel,non,harum
aliquam,quasi,reprehenderit,libero,doloribus
sequi,error,deserunt,occaecati,necessitatibus
consequuntur,amet,sit,quisquam,earum
natus,eligendi,quae,doloribus,iusto
quasi,repudiandae,saepe,impedit,adipisci
quaerat,quaerat,illum,doloribus,temporibus
officiis,laborum,at,unde,tempore
quo,maiores,optio,saepe,excepturi
ex,vel,labore,animi,veniam
facilis,tempora,repudiandae,fuga,consectetur
tempora,ea,soluta,facere,ipsum
voluptas,aperiam,officia,illo,dolores
magnam,facilis,expedita,repudiandae,dolor
ex,nulla,repellendus,reiciendis,sint
dolorum,fugit,odit,rem,consectetur
maxime,tempore,non,expedita,veritatis
at,id,sunt,blanditiis,optio
tempora,doloribus,assumenda,doloribus,animi
quidem,dolore,aliquam,delectus,unde
molestias,accusantium,similique,perspiciatis,aperiam
libero,neque,autem,voluptates,totam
temporibus,officiis,dolorum,in,nesciunt
officiis,dolorum,sequi,asperiores,fugit
delectus,suscipit,libero,error,facere
error,ad,rem,blanditiis,corporis
aut,voluptas,labore,id,velit
quas,praesentium,beatae,natus,iusto
odio,iure,provident,earum,animi
corrupti,autem,reiciendis,pariatur,dolore
mollitia,aspernatur,illum,facilis,molestiae
provident,magnam,dignissimos,nemo,quod
maxime,voluptatum,laudantium,fugit,quibusdam
nisi,veritatis,et,aliquam,occaecati
nesciunt,consequatur,incidunt,cum,non
molestiae,eum,fuga,voluptas,rem
voluptatibus,doloremque,ipsam,alias,quod
vitae,doloribus,quisquam,necessitatibus,perferendis
quibusdam,temporibus,necessitatibus,eum,veniam
eum,amet,ducimus,in,quos
neque,eius,tenetur,illum,quo
ex,cupiditate,fuga,omnis,quo
at,dolor,quas,debitis,doloribus
id,officiis,accusamus,quo,voluptates
sunt,quidem,inventore,reiciendis,eos
atque,aperiam,veniam,quasi,consequuntur
velit,minima,laudantium,placeat,consequuntur
voluptatum,repudiandae,possimus,voluptate,quam
excepturi,sit,incidunt,eum,quia
aliquam,facere,incidunt,similique,tempora
fugit,rerum,et,omnis,tenetur
iure,quos,eaque,qui,quasi
ad,aliquam,tenetur,recusandae,cumque
est,fugiat,nulla,quas,rerum
sed,officiis,quidem,doloremque,quam
tempore,facere,ipsam,itaque,odio
necessitatibus,cum,delectus,aut,perspiciatis
minima,dignissimos,repellendus,qui,culpa
perspiciatis,architecto,consequuntur,beatae,debitis
tenetur,eum,hic,autem,ex
rerum,repudiandae,libero,et,iste
beatae,nobis,laborum,voluptas,minus
porro,maiores,itaque,beatae,corrupti
ipsum,impedit,quos,officia,atque
neque,deserunt,quo,voluptatem,molestiae
numquam,dignissimos,odio,omnis,recusandae
beatae,corrupti,doloremque,tempora,reiciendis
asperiores,velit,asperiores,cum,animi
commodi,magni,unde,vel,mollitia
omnis,perferendis,tempore,perferendis,expedita
illo,quo,libero,voluptatibus,et
animi,qui,enim,maxime,quidem
nemo,molestias,repudiandae,beatae,aliquid
impedit,quos,rerum,quasi,possimus
corrupti,quis,voluptate,a,doloremque
provident,occaecati,vitae,et,exercitationem
voluptate,totam,commodi,illum,itaque
in,doloribus,doloremque,suscipit,alias
sit,soluta,nam,animi,veniam
veritatis,voluptas,molestiae,cum,inventore
possimus,architecto,atque,corporis,soluta
repudiandae,quasi,ducimus,distinctio,officia
alias,non,perspiciatis,voluptates,dignissimos
odio,est,quo,rem,iste
atque,deserunt,magni,tempore,alias
et,dolor,minus,fugit,officiis
nesciunt,est,rem,odit,ab
repellendus,corporis,aut,eius,ratione
suscipit,voluptatibus,enim,voluptates,quo
nostrum,non,cum,id,doloremque
ducimus,vel,eum,veniam,delectus
eum,temporibus,optio,vero,voluptatibus
in,distinctio,minus,explicabo,accusamus
quam,autem,expedita,possimus,veniam
quibusdam,beatae,fugit,rem,tempora
alias,eveniet,cumque,nesciunt,ullam
dolor,molestiae,voluptas,ipsum,maxime
reiciendis,placeat,tempore,unde,quisquam
temporibus,id,neque,numquam,cumque
magni,commodi,necessitatibus,consectetur,quidem
quia,ducimus,laboriosam,saepe,harum
illum,amet,vel,harum,quidem
voluptate,ipsa,dolor,exercitationem,qui
ullam,placeat,molestiae,molestiae,cumque
in,cum,esse,et,assumenda
assumenda,accusamus,quo,magni,possimus
voluptatum,ea,amet,magnam,molestiae
necessitatibus,tenetur,ex,voluptatibus,veniam
quo,vel,esse,tenetur,provident
nostrum,eius,saepe,voluptas,consectetur
impedit,ratione,laboriosam,mollitia,voluptas
quo,voluptatum,esse,iusto,distinctio
voluptatem,ut,voluptatibus,hic,error
doloremque,dolorem,recusandae,iure,laborum
voluptates,iste,ducimus,excepturi,quos
ratione,magnam,odio,porro,facilis
et,in,sunt,saepe,exercitationem
recusandae,facilis,exercitationem,dolor,debitis
quia,sunt,earum,totam,possimus
atque,harum,corrupti,nihil,ex
culpa,maiores,maxime,consequatur,a
ad,laborum,maxime,nostrum,illo
similique,quaerat,dolores,laudantium,quia
itaque,dignissimos,similique,itaque,adipisci
impedit,officia,necessitatibus,nulla,vel
nobis,nisi,placeat,beatae,corporis
exercitationem,quisquam,numquam,magni,veritatis
illum,saepe,perspiciatis,quaerat,magnam
tempora,illo,cumque,suscipit,error
voluptatibus,dolores,accusantium,ipsam,totam
illum,molestiae,totam,minima,odit
quibusdam,officiis,blanditiis,beatae,officiis
cum,incidunt,amet,eaque,unde
sint,consequuntur,sunt,amet,occaecati
quam,delectus,voluptas,quia,nam
sint,nesciunt,beatae,possimus,quidem
iure,id,similique,ipsa,alias
sit,autem,sed,autem,odio
saepe,asperiores,corrupti,totam,dolores
suscipit,numquam,harum,fuga,culpa
fuga,expedita,eos,laborum,eum
id,impedit,inventore,consequuntur,molestias
maiores,autem,est,enim,blanditiis
incidunt,doloremque,ea,voluptatibus,adipisci
beatae,debitis,enim,in,tempore
doloribus,veniam,accusantium,occaecati,esse
accusamus,nostrum,dolor,iusto,adipisci
optio,unde,quisquam,voluptatibus,autem
suscipit,aliquam,asperiores,sint,aperiam
doloremque,eos,consequuntur,laborum,officiis
unde,recusandae,facere,dolorum,accusantium
numquam,nisi,quo,natus,vero
error,eaque,repellendus,omnis,eum
voluptatum,dicta,accusantium,quia,perspiciatis
nobis,quia,id,dicta,labore
praesentium,error,veritatis,sint,voluptatibus
totam,placeat,accusantium,facilis,dignissimos
dolor,quos,dignissimos,molestiae,non
quos,minima,quos,eaque,fugiat
aperiam,suscipit,dignissimos,omnis,aliquid
molestiae,nihil,recusandae,expedita,ipsa
eveniet,ipsa,sunt,aspernatur,deleniti
fugit,est,dolores,eaque,occaecati
unde,eaque,nostrum,sapiente,quidem
minus,optio,soluta,dolore,ad
molestiae,soluta,commodi,maiores,provident
quam,similique,sapiente,deleniti,asperiores
magnam,rerum,aliquid,molestiae,quo
sint,neque,voluptate,magni,reprehenderit
deleniti,eligendi,vero,tempore,sapiente
facilis,voluptatibus,quos,a,consectetur
cupiditate,necessitatibus,pariatur,adipisci,ducimus
itaque,ipsum,rerum,id,inventore
itaque,magnam,amet,tenetur,iusto
consequuntur,sed,similique,blanditiis,laboriosam
labore,perspiciatis,assumenda,quasi,quia
harum,numquam,laboriosam,sint,voluptas
dicta,voluptates,adipisci,eum,iusto
aperiam,voluptatum,numquam,similique,harum
culpa,fugit,totam,sequi,quasi
quaerat,cumque,velit,quo,soluta
officia,sunt,aut,mollitia,esse
minima,tempore,nobis,provident,vero
ab,ducimus,consectetur,maiores,at
omnis,nam,reprehenderit,occaecati,harum
vel,nemo,in,libero,odit
corrupti,iste,corrupti,corrupti,illo
repudiandae,doloribus,quam,esse,ad
aut,cumque,dicta,blanditiis,magnam
voluptas,incidunt,odit,veritatis,qui
officiis,odit,debitis,consequatur,magnam
saepe,quos,dolores,dicta,nesciunt
neque,quas,id,laborum,consequuntur
iusto,nemo,magni,id,numquam
itaque,tenetur,earum,adipisci,repellendus
labore,blanditiis,doloremque,ullam,exercitationem
officiis,cumque,fugiat,inventore,pariatur
deleniti,corrupti,nostrum,rerum,adipisci
odit,temporibus,eum,occaecati,nisi
enim,quisquam,mollitia,neque,occaecati
ab,deleniti,placeat,inventore,possimus
sit,tenetur,molestias,explicabo,laudantium
odit,nam,nesciunt,aspernatur,eaque
eaque,magni,dicta,accusamus,ex
voluptatibus,deserunt,eligendi,earum,doloribus
ea,consequuntur,praesentium,sunt,eligendi
suscipit,ad,aperiam,repellat,illum
error,dolore,molestias,asperiores,placeat
asperiores,distinctio,minus,ullam,minima
veritatis,commodi,qui,exercitationem,rem
nemo,quis,facere,dolorum,architecto
eos,ea,amet,nam,libero
id,sapiente,totam,perferendis,deleniti
ducimus,quisquam,quos,debitis,doloremque
blanditiis,ab,mollitia,dolor,neque
dicta,ducimus,cumque,voluptas,placeat
labore,veniam,quibusdam,incidunt,cupiditate
libero,distinctio,tempora,nobis,dolorum
quod,ratione,sed,recusandae,assumenda
recusandae,vero,repellendus,id,numquam
fugit,modi,dignissimos,minima,neque
sed,nulla,vitae,qui,exercitationem
incidunt,autem,accusantium,ad,exercitationem
culpa,culpa,nostrum,quisquam,sed
voluptate,voluptate,sit,laboriosam,accusantium
necessitatibus,dolores,repellat,natus,distinctio
aperiam,voluptate,illo,ratione,ad
cupiditate,pariatur,voluptatum,dicta,corrupti
omnis,sequi,culpa,explicabo,assumenda
possimus,itaque,vel,quidem,quos
impedit,eaque,iste,velit,voluptas
ipsam,eum,quo,qui,officia
maiores,necessitatibus,sit,est,necessitatibus
odio,dolorem,quia,animi,in
minima,dolorem,labore,eius,voluptatem
cumque,architecto,iusto,vel,doloribus
quia,facere,consectetur,iusto,corrupti
ratione,beatae,voluptatibus,distinctio,saepe
consequatur,saepe,asperiores,laudantium,ex
debitis,temporibus,voluptatibus,vitae,ipsa
exercitationem,maxime,optio,libero,alias
suscipit,unde,consequatur,eaque,voluptates
occaecati,dolorem,velit,corrupti,quaerat
porro,explicabo,explicabo,mollitia,laudantium
sint,dolore,eum,itaque,nulla
consequuntur,odio,ea,reiciendis,accusantium
distinctio,laudantium,sunt,aliquam,quos
veniam,nesciunt,distinctio,occaecati,molestias
eveniet,autem,impedit,voluptatem,inventore
occaecati,eius,error,esse,nostrum
soluta,fuga,aperiam,hic,illo
minima,cum,deleniti,sint,asperiores
veritatis,mollitia,magni,repellat,quo
nobis,labore,quae,omnis,nesciunt
doloremque,assumenda,molestiae,sint,cum
quam,id,fugit,culpa,quaerat
perspiciatis,sit,laudantium,nisi,commodi
porro,accusamus,suscipit,saepe,assumenda
rem,magnam,dignissimos,ex,illo
eius,illum,eum,consequuntur,deserunt
molestiae,aliquid,eius,explicabo,ut
facere,neque,quisquam,voluptatum,assumenda
dolore,molestias,provident,architecto,in
distinctio,minima,itaque,voluptatem,distinctio
aut,repellat,labore,velit,atque
excepturi,minus,accusamus,voluptas,quo
cum,perferendis,blanditiis,quisquam,corrupti
autem,fugiat,natus,eum,quaerat
laudantium,recusandae,ut,ullam,atque
quisquam,nostrum,iste,porro,sit
ipsam,mollitia,ipsa,quidem,ut
quis,labore,quo,minima,ipsa
fugit,id,recusandae,doloremque,officia
illo,accusantium,tenetur,quidem,illo
rem,odit,incidunt,dolor,ducimus
autem,exercitationem,ea,earum,consectetur
fugit,ratione,reiciendis,praesentium,error
reiciendis,iusto,nostrum,assumenda,saepe
culpa,similique,laborum,numquam,autem
repudiandae,ab,blanditiis,voluptas,at
officia,illo,qui,ullam,debitis
et,corrupti,corrupti,tempora,ut
reprehenderit,minus,est,iure,voluptas
adipisci,totam,voluptate,dolore,cupiditate
sint,quidem,sequi,ut,eaque
eaque,quis,eaque,molestiae,ipsa
laboriosam,cupiditate,ipsum,quia,quae
fuga,libero,aliquam,nisi,esse
incidunt,fuga,suscipit,assumenda,explicabo
aliquam,pariatur,eos,at,reiciendis
vitae,nisi,vel,accusantium,ab
nemo,delectus,nobis,ratione,est
cupiditate,distinctio,ea,necessitatibus,saepe
ad,esse,officiis,molestiae,ratione
inventore,occaecati,nam,temporibus,quae
facere,nisi,dicta,veniam,libero
magnam,vel,veniam,delectus,minus
eaque,eos,sequi,voluptates,in
iusto,occaecati,similique,minima,molestiae
nisi,quos,omnis,saepe,eveniet
suscipit,fugit,vero,eaque,earum
expedita,harum,aut,esse,culpa
repudiandae,in,similique,cupiditate,optio
harum,error,dolorum,accusantium,repellat
repellendus,libero,odit,eum,ipsum
laboriosam,distinctio,quidem,nobis,architecto
ea,adipisci,tenetur,tempore,corporis
quas,suscipit,incidunt,ipsa,accusantium
eaque,adipisci,nemo,aliquam,aut
quos,beatae,iure,exercitationem,culpa
at,delectus,minima,praesentium,tempore
voluptate,porro,recusandae,error,deleniti
dolor,quas,autem,minus,accusantium
dolorem,quis,sint,neque,provident
qui,vero,officia,exercitationem,doloribus
cum,nobis,cum,voluptatum,nulla
debitis,beatae,autem,debitis,reiciendis
illo,perspiciatis,quidem,suscipit,illum
dolor,ad,cumque,aut,tempora
rem,in,culpa,nobis,corporis
tenetur,fuga,iusto,rerum,officiis
possimus,excepturi,ipsam,vitae,repellendus
quia,eum,fugiat,explicabo,laboriosam
rem,alias,sint,nesciunt,esse
inventore,mollitia,quam,dolor,dolores
tempora,nam,veniam,hic,in
eos,nisi,odit,iure,repellendus
sit,aliquid,provident,soluta,libero
repellat,eveniet,quo,quasi,odit
sit,officia,ullam,est,assumenda
quidem,doloribus,totam,voluptatibus,quae
laborum,modi,magnam,est,quisquam
eos,eveniet,veritatis,aliquam,harum
nemo,voluptas,natus,animi,quae
dolor,iusto,non,voluptatem,suscipit
repellendus,sed,neque,cumque,ad
labore,vitae,dolore,sunt,aperiam
accusantium,tempore,voluptates,occaecati,ab
neque,quod,debitis,recusandae,omnis
facilis,impedit,eius,error,culpa
aperiam,ipsum,qui,repudiandae,rerum
nesciunt,iure,illo,corrupti,repudiandae
et,sunt,numquam,magni,tenetur
enim,impedit,asperiores,doloremque,pariatur
modi,tenetur,minus,dolorem,dolores
repellat,et,vel,tempore,natus
quas,officia,harum,ratione,rem
deserunt,aperiam,doloribus,similique,fugit
praesentium,voluptatum,placeat,placeat,ex
atque,fuga,quisquam,dolorem,ea
modi,sapiente,fugit,tempora,praesentium
adipisci,nostrum,aut,iusto,temporibus
harum,ipsum,doloribus,quisquam,explicabo
blanditiis,optio,ex,praesentium,nisi
occaecati,excepturi,id,tempora,ex
accusamus,deleniti,accusantium,ipsum,quos
est,dolorum,neque,possimus,culpa
delectus,temporibus,consequatur,ab,dicta
natus,ad,maiores,voluptates,distinctio
accusantium,voluptatibus,necessitatibus,est,repellat
delectus,repudiandae,ex,quibusdam,repellendus
reiciendis,libero,ab,nemo,soluta
a,quasi,iusto,ipsa,repellat
magnam,reiciendis,facere,sequi,sint
magnam,beatae,corporis,itaque,repudiandae
delectus,numquam,laboriosam,quos,alias
doloribus,eum,ad,sed,aut
aperiam,eos,perferendis,dolores,inventore
vitae,quidem,explicabo,suscipit,explicabo
odio,accusantium,sit,asperiores,repudiandae
nulla,voluptates,quo,eligendi,temporibus
ad,ratione,adipisci,ea,accusamus
iure,ullam,praesentium,consequuntur,facere
ab,cupiditate,cumque,natus,reprehenderit
ducimus,eius,asperiores,inventore,quaerat
consequuntur,et,illo,quia,iure
inventore,illum,atque,commodi,corporis
in,laboriosam,nostrum,est,quod
eius,culpa,ipsa,officia,reiciendis
quaerat,consequatur,necessitatibus,excepturi,repellat
dolor,voluptates,officiis,culpa,corrupti
hic,debitis,commodi,aperiam,nam
earum,nam,possimus,non,dolorem
laborum,cupiditate,unde,vel,perspiciatis
natus,cupiditate,similique,necessitatibus,dolores
reiciendis,voluptatem,est,deserunt,inventore
repellat,quae,ipsa,id,amet
laudantium,quis,est,odio,eveniet
eius,fugiat,iure,velit,alias
amet,ea,ex,nesciunt,est
laboriosam,minima,dolores,id,minus
ad,quasi,molestiae,nisi,blanditiis
saepe,qui,minus,eaque,eaque
in,repellat,veritatis,debitis,itaque
voluptas,nemo,earum,magnam,corrupti
modi,commodi,numquam,sunt,vero
adipisci,cupiditate,architecto,est,porro
iusto,esse,corporis,magnam,ea
quibusdam,magnam,consectetur,consequatur,fuga
