prod_id,prod_type,interest_rate_apr,processing_fee_logic,tenure_months
iste,hic,asperiores,itaque,cum
odit,distinctio,corporis,voluptas,repellendus
repellat,dicta,dolore,laborum,quasi
culpa,quasi,atque,consectetur,libero
repellendus,similique,aut,facilis,non
deleniti,sunt,dolor,eos,dolorum
ea,fugiat,consectetur,fuga,rerum
labore,esse,accusantium,atque,amet
dignissimos,ea,hic,incidunt,perspiciatis
debitis,occaecati,eaque,doloribus,illum
perferendis,maiores,inventore,veritatis,dolores
incidunt,voluptate,necessitatibus,cupiditate,impedit
veniam,in,animi,officia,aut
asperiores,voluptatum,iure,beatae,dicta
repudiandae,veritatis,voluptatum,quaerat,nostrum
repudiandae,voluptatibus,excepturi,cumque,cupiditate
provident,esse,eveniet,necessitatibus,quaerat
laboriosam,assumenda,provident,eum,ducimus
consequuntur,iste,commodi,enim,quam
tempore,enim,libero,velit,dolorem
quaerat,facere,optio,ab,perferendis
aut,sed,ipsa,quibusdam,cupiditate
similique,explicabo,hic,ad,excepturi
aut,adipisci,accusantium,delectus,similique
recusandae,beatae,cupiditate,eos,consequuntur
beatae,recusandae,eum,natus,aperiam
odio,deserunt,quo,delectus,ipsam
possimus,error,asperiores,sed,fugit
necessitatibus,vero,suscipit,eveniet,ipsa
in,consequatur,eveniet,nam,quis
velit,quasi,minus,tempore,mollitia
iusto,voluptatem,voluptatum,illo,magnam
soluta,et,accusamus,praesentium,vero
quod,delectus,itaque,dignissimos,soluta
tenetur,alias,quibusdam,cupiditate,nesciunt
exercitationem,id,illo,dignissimos,quis
quasi,similique,rerum,earum,at
illum,porro,maiores,esse,nesciunt
veritatis,nesciunt,dolorum,nobis,laboriosam
laudantium,hic,laboriosam,rem,vero
vel,assumenda,laboriosam,impedit,at
ipsum,est,incidunt,quis,possimus
quaerat,doloribus,aut,quos,labore
ipsam,omnis,sed,accusantium,officiis
eligendi,nemo,ea,sit,in
enim,illo,laborum,ipsa,reprehenderit
veniam,error,nihil,molestiae,totam
totam,vel,ducimus,doloribus,voluptate
cupiditate,aliquid,itaque,labore,natus
aperiam,nesciunt,necessitatibus,vitae,aliquam
labore,ullam,odit,recusandae,minus
voluptas,aspernatur,repudiandae,sapiente,libero
incidunt,exercitationem,consequatur,tenetur,autem
culpa,modi,nobis,ex,voluptatem
molestias,distinctio,quisquam,ratione,esse
porro,maxime,vel,at,quos
praesentium,non,officiis,sint,voluptatibus
cupiditate,ducimus,saepe,dicta,neque
ut,tempore,laudantium,quod,sapiente
earum,praesentium,fugiat,voluptates,consequuntur
inventore,perspiciatis,cum,debitis,aut
harum,nam,tempore,voluptatibus,praesentium
voluptatibus,nostrum,at,et,consequuntur
nisi,laudantium,aliquid,exercitationem,occaecati
maiores,debitis,aspernatur,mollitia,itaque
est,quidem,dignissimos,aut,fuga
ad,necessitatibus,iusto,dignissimos,quaerat
exercitationem,in,molestiae,sapiente,aperiam
aliquam,beatae,quod,voluptatem,doloribus
repudiandae,assumenda,corporis,velit,rerum
ullam,deleniti,accusamus,totam,tenetur
id,doloribus,officia,fugit,pariatur
repudiandae,omnis,facilis,ipsam,perferendis
modi,neque,amet,eos,totam
facilis,voluptas,in,dicta,eum
iure,officiis,quas,aliquam,optio
optio,quidem,minima,aperiam,neque
laboriosam,suscipit,recusandae,molestiae,quasi
excepturi,fuga,sit,nihil,quidem
distinctio,esse,ea,magnam,cumque
unde,id,placeat,nobis,commodi
aliquam,consequatur,cupiditate,officiis,reiciendis
nihil,rem,ratione,suscipit,voluptate
non,enim,sapiente,magni,ex
laudantium,iste,harum,animi,numquam
ut,velit,reiciendis,earum,accusantium
nisi,voluptate,a,ab,praesentium
dignissimos,cupiditate,laudantium,quaerat,fugit
nisi,sed,fugit,in,harum
modi,eos,nihil,quasi,iure
magni,eos,nostrum,laborum,at
maiores,accusamus,unde,nobis,consectetur
neque,quae,amet,natus,cupiditate
iure,hic,minus,facilis,optio
quod,quis,provident,facere,eveniet
officiis,excepturi,libero,sint,eligendi
placeat,aliquam,veniam,quam,repellendus
amet,minima,adipisci,ducimus,rerum
quasi,inventore,a,fugiat,asperiores
sunt,blanditiis,aliquam,molestiae,autem
error,delectus,velit,libero,corporis
ipsa,itaque,excepturi,ad,recusandae
iusto,numquam,dolore,beatae,quasi
ab,error,vitae,impedit,beatae
excepturi,omnis,rem,repellendus,facere
quae,voluptates,itaque,quos,aspernatur
mollitia,dolorem,itaque,error,nihil
facilis,dicta,necessitatibus,hic,eius
illum,minima,eum,temporibus,reprehenderit
rem,voluptatibus,dolores,quis,modi
ipsam,necessitatibus,ea,perferendis,itaque
possimus,vero,autem,quo,porro
quia,accusamus,nesciunt,temporibus,quasi
libero,eveniet,esse,modi,occaecati
quisquam,blanditiis,eligendi,dicta,nihil
illo,tempora,assumenda,rerum,provident
voluptas,consectetur,nam,debitis,at
tenetur,tempora,reprehenderit,voluptatibus,cupiditate
deserunt,molestiae,neque,sapiente,repellat
aperiam,perferendis,inventore,pariatur,enim
alias,ipsa,ratione,quibusdam,magni
perferendis,laborum,odio,veniam,optio
earum,error,ut,accusamus,deserunt
delectus,excepturi,amet,atque,facere
iure,atque,quas,autem,occaecati
qui,aspernatur,blanditiis,illo,facere
vero,repellat,aspernatur,est,dolore
repellat,non,voluptate,magnam,et
esse,animi,perspiciatis,expedita,quas
dolore,fugiat,atque,nulla,reiciendis
beatae,possimus,commodi,ut,ab
ullam,labore,rem,commodi,amet
qui,at,ad,velit,modi
fuga,sit,tempora,dicta,aliquam
cum,deleniti,sunt,hic,veniam
quisquam,dolorum,molestias,adipisci,est
perspiciatis,nostrum,non,veniam,cupiditate
vitae,adipisci,ex,molestiae,voluptatum
voluptates,delectus,numquam,recusandae,doloribus
quibusdam,sapiente,voluptates,molestiae,recusandae
error,repellat,et,voluptatum,commodi
explicabo,facere,libero,harum,ipsa
accusamus,quisquam,quos,officiis,eum
rem,dolor,officia,quidem,inventore
veritatis,quam,commodi,optio,libero
quam,voluptas,illo,quas,vitae
voluptatem,ipsa,reprehenderit,dolor,laboriosam
ratione,quisquam,eveniet,consequatur,quibusdam
in,vero,consequuntur,fuga,fuga
repudiandae,aliquid,facere,officia,incidunt
cum,asperiores,sit,facere,aspernatur
unde,ad,quibusdam,amet,eaque
cum,ex,temporibus,quaerat,natus
atque,suscipit,adipisci,mollitia,repellendus
ipsum,aspernatur,non,eligendi,voluptates
esse,ad,nostrum,nisi,commodi
corporis,mollitia,officia,facere,magnam
perferendis,provident,sed,amet,consequuntur
eaque,illum,ducimus,nostrum,fugiat
fugit,atque,vero,adipisci,harum
nesciunt,quaerat,odio,libero,officiis
voluptates,cumque,doloribus,laudantium,modi
rem,enim,rerum,impedit,voluptates
sunt,quasi,pariatur,incidunt,totam
dolorem,magnam,ratione,natus,dolorum
unde,nam,culpa,nemo,eum
deleniti,unde,ex,corrupti,eos
sequi,voluptates,eius,aperiam,incidunt
explicabo,doloremque,nam,ipsa,hic
dolor,veniam,consectetur,commodi,explicabo
molestiae,est,nihil,debitis,dolorum
eum,facere,ab,unde,ratione
dolores,nostrum,quasi,labore,provident
corporis,beatae,dolor,architecto,labore
eius,ipsa,sapiente,aspernatur,quos
odit,ipsum,beatae,autem,necessitatibus
commodi,dolorem,ducimus,nemo,totam
numquam,nulla,facere,similique,vitae
saepe,ipsum,recusandae,nobis,vero
iure,error,nulla,autem,delectus
asperiores,quasi,placeat,pariatur,impedit
excepturi,quia,eum,fugit,molestias
porro,iure,quas,repellat,tempore
earum,assumenda,itaque,quis,ipsam
nostrum,explicabo,corrupti,aliquid,excepturi
saepe,commodi,modi,enim,at
pariatur,amet,quia,laborum,asperiores
vero,tempora,magnam,minima,aut
aliquam,occaecati,sequi,suscipit,nostrum
consequatur,exercitationem,autem,tempora,debitis
voluptates,beatae,fuga,culpa,nulla
sit,temporibus,laudantium,aliquid,illo
id,ab,optio,et,asperiores
nihil,ratione,neque,sapiente,ipsa
eius,mollitia,ex,eaque,rem
illum,sint,eligendi,possimus,a
perferendis,labore,sequi,vitae,aperiam
atque,itaque,animi,temporibus,illo
ipsum,molestiae,optio,quis,repellat
quibusdam,at,est,reprehenderit,sapiente
accusamus,iusto,ex,adipisci,minima
debitis,quo,provident,facere,eius
quis,iure,voluptas,sequi,praesentium
quia,in,expedita,nemo,molestias
accusantium,maxime,laudantium,ducimus,velit
laboriosam,necessitatibus,pariatur,voluptates,dolore
ad,illo,vel,quae,eius
itaque,cupiditate,autem,perferendis,maxime
itaque,mollitia,occaecati,error,ab
delectus,dolorem,sapiente,nam,incidunt
eveniet,ex,maxime,alias,distinctio
fuga,minus,architecto,voluptates,eius
alias,nam,illum,cumque,sed
possimus,officiis,ipsum,esse,itaque
provident,libero,recusandae,magnam,blanditiis
quam,ut,veniam,consectetur,dolorem
consequatur,tempora,totam,asperiores,nihil
saepe,magni,quis,minima,tempora
architecto,delectus,ex,adipisci,placeat
unde,iure,quo,magni,aperiam
neque,id,sit,soluta,magni
voluptatem,nulla,dolorem,et,saepe
reiciendis,quae,neque,impedit,dicta
rem,eveniet,quis,aut,consectetur
illo,maiores,error,est,eligendi
nobis,aliquid,voluptate,pariatur,a
sed,provident,beatae,tempore,laboriosam
nemo,veritatis,eligendi,corrupti,atque
nisi,esse,in,magnam,tenetur
ea,error,illo,distinctio,iste
voluptatem,ut,qui,deleniti,similique
magnam,quibusdam,sunt,est,numquam
eius,rem,magni,occaecati,nemo
quod,reiciendis,eos,voluptas,similique
corrupti,sunt,dolores,ab,qui
minima,libero,suscipit,eligendi,velit
natus,magni,aut,nam,minus
unde,dolores,nostrum,facilis,quos
natus,eius,molestiae,nesciunt,illum
ab,blanditiis,quos,explicabo,animi
quisquam,minus,neque,amet,mollitia
corrupti,adipisci,excepturi,officia,voluptates
libero,perspiciatis,placeat,recusandae,nostrum
labore,illo,qui,quae,voluptatum
similique,inventore,a,aperiam,aspernatur
praesentium,nesciunt,rerum,excepturi,distinctio
ab,itaque,explicabo,hic,quas
porro,voluptatibus,quae,aperiam,ad
dolores,nemo,inventore,sapiente,perferendis
autem,veritatis,quis,iste,commodi
facilis,quod,earum,nulla,corrupti
velit,consequuntur,omnis,excepturi,totam
illum,dignissimos,explicabo,quam,ab
asperiores,consequatur,provident,consectetur,iusto
ab,et,qui,accusantium,reprehenderit
sunt,cum,vel,labore,aliquam
id,esse,modi,placeat,earum
recusandae,aliquam,quo,temporibus,reiciendis
blanditiis,eaque,dolorum,vel,aut
quo,dolorem,non,excepturi,placeat
corrupti,saepe,vitae,esse,aliquam
fugiat,minima,ipsum,culpa,libero
officiis,alias,quas,molestias,tempora
quasi,enim,sed,numquam,earum
doloribus,maxime,velit,neque,unde
sunt,hic,nemo,itaque,quisquam
expedita,earum,odio,enim,sed
tempore,perferendis,eum,quam,quaerat
unde,velit,nisi,praesentium,harum
molestiae,ad,eum,aut,debitis
officia,reiciendis,consequatur,esse,distinctio
odit,aperiam,odio,quod,alias
vitae,magnam,error,nihil,vero
magnam,accusantium,maiores,officia,eveniet
blanditiis,rem,voluptatum,minima,provident
aut,tempore,quam,pariatur,non
eveniet,iure,reiciendis,beatae,mollitia
iusto,voluptatibus,nesciunt,nihil,facere
blanditiis,nobis,exercitationem,aliquam,quod
reiciendis,repudiandae,ratione,tempore,cum
dicta,nostrum,officia,libero,vitae
ut,exercitationem,magni,tempora,doloremque
amet,repudiandae,dolorum,dolores,eius
voluptas,incidunt,rem,voluptatum,unde
placeat,perspiciatis,expedita,sed,rerum
quos,aliquid,atque,eveniet,eius
esse,impedit,possimus,tempore,ab
sit,praesentium,quaerat,doloribus,nisi
provident,et,a,quis,dicta
atque,iusto,at,in,illum
corrupti,tempore,quidem,laudantium,in
molestiae,deserunt,fugiat,nesciunt,blanditiis
optio,voluptates,voluptatum,architecto,minus
soluta,fuga,nobis,fugiat,iste
eius,aliquam,error,cumque,voluptates
libero,illo,eligendi,deserunt,ipsum
ducimus,quam,cum,praesentium,quaerat
molestiae,reiciendis,dolorem,hic,eos
doloribus,ex,voluptatem,esse,molestiae
magni,provident,dolor,nobis,fugit
voluptates,et,iure,cupiditate,dignissimos
inventore,eveniet,modi,adipisci,nesciunt
consectetur,fugit,molestiae,et,reiciendis
quaerat,eius,provident,enim,dolorum
neque,minus,adipisci,maxime,quidem
quo,quod,provident,odit,fuga
illum,deserunt,quibusdam,ut,nobis
dignissimos,voluptatibus,velit,suscipit,optio
suscipit,nemo,consectetur,aliquid,magnam
veritatis,fugiat,dignissimos,labore,nesciunt
quos,in,voluptatum,fuga,ipsum
quaerat,rerum,beatae,est,quae
dolor,reiciendis,velit,modi,laboriosam
assumenda,ab,molestias,laboriosam,dolores
dignissimos,veniam,sit,soluta,eligendi
voluptatibus,sunt,culpa,quis,cumque
unde,temporibus,amet,voluptatum,praesentium
deleniti,eveniet,ipsa,beatae,nisi
velit,animi,eligendi,delectus,odio
porro,rem,nesciunt,distinctio,corrupti
nam,unde,non,quasi,iste
eius,saepe,repudiandae,veritatis,necessitatibus
quibusdam,provident,blanditiis,laudantium,animi
voluptatibus,similique,culpa,minus,perferendis
consequatur,possimus,suscipit,debitis,nesciunt
neque,eligendi,incidunt,deserunt,cumque
asperiores,autem,voluptatum,aliquid,facere
error,iste,iste,quo,maiores
quidem,quisquam,quam,perspiciatis,delectus
molestias,culpa,rem,id,et
id,exercitationem,molestias,fugit,alias
quos,nihil,ea,amet,deserunt
iste,blanditiis,eligendi,ex,nesciunt
cupiditate,quasi,sed,vero,nesciunt
quis,itaque,quasi,quam,quod
natus,dolor,quod,dolorem,aperiam
saepe,velit,minima,esse,expedita
dolores,dolorum,iure,odio,consequatur
laborum,veritatis,odio,omnis,aperiam
repudiandae,dolores,culpa,quasi,dignissimos
ab,atque,porro,quam,error
asperiores,dicta,ut,ad,odio
animi,quae,natus,amet,explicabo
ut,explicabo,iste,natus,similique
id,praesentium,incidunt,ab,numquam
optio,labore,aliquam,similique,esse
fuga,reprehenderit,at,inventore,tempore
sequi,similique,sapiente,veritatis,nostrum
nesciunt,quia,nisi,nulla,fugit
culpa,sunt,soluta,ut,totam
ipsa,aliquam,non,hic,voluptas
delectus,qui,laudantium,aut,doloribus
sunt,in,eum,voluptatibus,inventore
ullam,corporis,rerum,totam,repellat
aut,earum,minus,ratione,corrupti
beatae,asperiores,placeat,aspernatur,ducimus
nulla,nihil,vitae,occaecati,nostrum
quas,nostrum,adipisci,quos,cumque
a,nihil,magnam,iusto,optio
perferendis,necessitatibus,harum,eveniet,esse
corporis,quaerat,modi,perspiciatis,perferendis
harum,ipsam,at,eos,ad
saepe,ad,vitae,quidem,earum
deserunt,illo,praesentium,magni,praesentium
id,corporis,accusantium,debitis,possimus
repellendus,perferendis,doloribus,nisi,consequatur
pariatur,quos,saepe,assumenda,iusto
ea,dolore,aliquam,consectetur,minus
dignissimos,pariatur,quo,laboriosam,aperiam
quibusdam,accusamus,ducimus,assumenda,non
ducimus,provident,at,rem,sunt
qui,explicabo,sunt,odit,tenetur
cupiditate,repudiandae,totam,iste,iure
est,temporibus,eligendi,mollitia,id
unde,labore,vero,eveniet,eum
possimus,dolorem,accusantium,ipsam,id
eum,dolor,voluptates,laboriosam,excepturi
explicabo,animi,debitis,velit,ut
distinctio,quia,dolorem,aspernatur,culpa
eaque,temporibus,delectus,eum,facere
optio,ratione,accusantium,voluptate,facilis
consectetur,dolorem,quas,sed,corporis
reprehenderit,officiis,qui,tempore,dicta
ullam,amet,praesentium,quasi,animi
quibusdam,assumenda,alias,a,repudiandae
consequuntur,commodi,ea,commodi,ipsum
doloribus,esse,nobis,neque,omnis
iste,quasi,nemo,ipsa,fugiat
minus,excepturi,tempora,reprehenderit,quisquam
nobis,doloremque,sit,minus,placeat
eaque,dolorum,veniam,officia,odit
hic,repellendus,perferendis,dolores,autem
temporibus,nulla,neque,neque,ipsa
odit,id,fugit,quam,atque
praesentium,vitae,sed,nobis,quasi
est,odit,adipisci,consequatur,voluptates
blanditiis,vero,corporis,libero,occaecati
eos,eum,voluptate,aliquid,porro
sint,nisi,nemo,soluta,molestias
facilis,possimus,reiciendis,consequatur,laboriosam
odit,culpa,adipisci,facere,earum
dicta,nisi,ea,neque,nemo
unde,amet,ab,ipsum,soluta
dolore,voluptatibus,nobis,incidunt,iste
maxime,perspiciatis,odio,nobis,nam
nemo,nisi,quis,repellendus,molestiae
eius,maxime,consequatur,autem,praesentium
eius,dolores,numquam,iste,eius
quidem,voluptatibus,nobis,harum,esse
temporibus,illo,voluptatem,enim,itaque
beatae,natus,quas,doloremque,perspiciatis
sit,fuga,architecto,enim,enim
aspernatur,repudiandae,esse,a,magni
quod,beatae,quaerat,quod,officiis
maiores,expedita,numquam,sequi,quibusdam
quam,voluptates,dolores,eveniet,numquam
quibusdam,quam,deleniti,porro,reiciendis
veniam,repellendus,beatae,perspiciatis,odit
exercitationem,deleniti,corrupti,eligendi,ratione
reiciendis,temporibus,nulla,deserunt,officia
perspiciatis,saepe,tempore,explicabo,natus
possimus,perferendis,molestias,consectetur,voluptatum
fugiat,rerum,laboriosam,in,quam
nihil,dignissimos,ex,facere,ad
molestiae,neque,sunt,impedit,sit
assumenda,consequatur,totam,consequuntur,distinctio
deserunt,dolorem,placeat,laudantium,quam
perspiciatis,debitis,odit,laboriosam,adipisci
suscipit,neque,ipsum,culpa,nihil
consequuntur,officiis,enim,quae,vero
exercitationem,distinctio,quia,atque,fugiat
dignissimos,blanditiis,possimus,molestiae,excepturi
nisi,soluta,dolorem,dignissimos,mollitia
tempore,ipsa,enim,inventore,culpa
quam,corporis,nemo,totam,molestiae
odit,ut,ab,illo,numquam
facere,minus,maxime,impedit,beatae
ipsa,hic,corporis,saepe,officiis
molestias,magni,atque,at,quidem
et,odit,reprehenderit,aliquid,corporis
iusto,repellat,deserunt,maiores,sit
natus,iste,eius,molestias,quas
velit,nisi,saepe,commodi,ipsum
eos,harum,unde,molestias,ipsam
eum,esse,dolorem,eaque,placeat
laudantium,ipsam,temporibus,nisi,eum
magnam,pariatur,nihil,unde,sapiente
ratione,error,culpa,accusamus,voluptatem
dolorum,non,vero,consequuntur,ipsam
officia,ipsam,tempore,molestiae,enim
error,facere,quibusdam,sint,possimus
ullam,ipsam,nulla,atque,nisi
enim,asperiores,repudiandae,suscipit,optio
consectetur,illo,voluptas,doloremque,deleniti
accusantium,sed,impedit,dolor,harum
alias,est,minus,aliquid,sapiente
dignissimos,iure,in,numquam,adipisci
sapiente,doloribus,quisquam,eos,est
dolore,vel,perspiciatis,possimus,itaque
exercitationem,eius,perferendis,sunt,ut
quia,odio,quas,ratione,suscipit
ipsum,minus,sapiente,dolores,quaerat
voluptatum,recusandae,dolorem,repellat,vero
fugit,perspiciatis,sit,sint,odit
quos,corrupti,assumenda,fugiat,corporis
ipsam,laudantium,optio,dolorem,possimus
quod,maiores,aut,placeat,adipisci
laudantium,quia,deserunt,debitis,modi
in,repudiandae,asperiores,laboriosam,cupiditate
minus,doloribus,rerum,quo,nemo
commodi,commodi,aspernatur,architecto,ipsum
soluta,a,atque,numquam,voluptas
fugit,quibusdam,quia,rem,voluptatem
quos,ducimus,voluptas,fugiat,aperiam
natus,perspiciatis,accusantium,voluptate,iure
vel,fugit,nobis,nemo,unde
eos,saepe,in,inventore,possimus
quam,ipsam,minima,culpa,magni
fugit,doloremque,dicta,sapiente,quia
dignissimos,repellat,numquam,doloribus,iure
quo,velit,porro,tempora,blanditiis
sint,exercitationem,aperiam,eaque,debitis
libero,earum,reprehenderit,id,velit
dolorum,eius,pariatur,harum,dolores
expedita,ab,libero,neque,voluptatibus
iste,corrupti,distinctio,nobis,consectetur
quidem,et,pariatur,necessitatibus,consectetur
itaque,temporibus,rerum,explicabo,aut
quas,amet,neque,dolores,possimus
iusto,culpa,perferendis,molestiae,officiis
id,inventore,suscipit,animi,saepe
accusamus,facere,rerum,laudantium,voluptatem
illum,ducimus,illo,aut,amet
eum,fuga,reprehenderit,aperiam,nulla
rem,libero,dignissimos,nulla,cumque
rem,vero,officiis,quos,fugit
expedita,qui,repudiandae,eius,omnis
vero,nostrum,assumenda,cum,aut
ullam,harum,laboriosam,repellat,suscipit
at,voluptas,omnis,explicabo,sunt
dolorem,ut,maiores,deserunt,unde
culpa,hic,quaerat,voluptates,exercitationem
cupiditate,omnis,dolore,hic,cum
ipsa,quae,tempora,necessitatibus,animi
